"Companies","Cluster-1","Cluster-2","Cluster-3","Cluster-4","Cluster-5","Cluster-6","Cluster-7","Cluster-8","Cluster-9","Cluster-10"
"State.Street.Corp..Financials",0.302255600920253,0.544427201128351,0.232623513989389,0.951195527120478,0.1279173186632,0.606522014874318,0.952514710826114,0.763065364998815,0.753907887220096,0.0876157290935804
"Stericycle.Inc.Industrials",0.443441612959244,0.514535387498224,0.219961750399446,0.91053712570777,0.859842524728094,0.100916307723868,0.137721072768744,0.462467401278052,0.308974867401936,0.937093247027142
"Stryker.Corp..Health.Care",0.724886087869975,0.428235251408471,0.36364901050296,0.321617447775001,0.66063936272318,0.548811813307525,0.217781550277137,0.412413672116857,0.234565735954931,0.0304325898189065
"SunTrust.Banks.Financials",0.37463899118235,0.498868904189698,0.990900617927685,0.13048417768585,0.67354767595816,0.466382830762831,0.636400236175019,0.204015813500664,0.652303087248559,0.480162166407837
"Symantec.Corp..Information.Technology",0.773636943639372,0.783167107591796,0.856376910569881,0.805529343181731,0.982552039387133,0.0322910812326909,0.704042472095272,0.376715930627451,0.27518139491738,0.953485892306394
"The.Travelers.Companies.Inc..Financials",0.186020995604477,0.565002307146548,0.917387811492117,0.0534878541342786,0.843593231412988,0.177360876743855,0.968657565575014,0.195809461156052,0.251501118848623,0.14470053682734
"Thermo.Fisher.Scientific.Health.Care",0.250099143451364,0.269076319502519,0.162539744744704,0.118888681991922,0.446060092118085,0.550814686087571,0.777895273707672,0.850289514846155,0.359407610468143,0.969302988478028
"Torchmark.Corp..Financials",0.492529625138002,0.14279521805137,0.0107076655254675,0.246482514863911,0.279977095456337,0.226843259901286,0.240660945684445,0.159552678643544,0.252336393394137,0.51882184758696
"Total.System.Services.Information.Technology",0.121287814201518,0.993586240620699,0.141144896659717,0.777976065995583,0.0152278478316933,0.78762812389653,0.834624543560072,0.826755263031703,0.164904357784896,0.432679326280131
"Transocean.Energy",0.648469250516476,0.00372693380327005,0.235025818622817,0.334081429060677,0.996794634734325,0.819799853921013,0.0149654747305026,0.584694356937379,0.55356369074611,0.567701811822554
"Whole.Foods.Market.Consumer.Staples",0.417983373105621,0.825502650923597,0.72289408823274,0.096096906025378,0.412917481830529,0.908270725974046,0.583085266414057,0.437674753730025,0.0715609060270839,0.754170177821822
"Williams.Cos..Energy",0.272497967133107,0.3894264762212,0.0831990650928253,0.431215077444069,0.313700861573771,0.0904558960203941,0.269286631779169,0.199567221431799,0.729124624208706,0.962512021227016
"Wisconsin.Energy.Corporation.Utilities",0.766648111377814,0.612657227562959,0.449261249640522,0.548037770383861,0.372231387408721,0.766240040792354,0.760193856191063,0.0437249510594824,0.881127483452965,0.844327618927327
"Xcel.Energy.Inc.Utilities",0.0932438389934884,0.961929383904005,0.169427956992437,0.660747069199708,0.182064650707705,0.122843016397126,0.421928100405908,0.267904416725724,0.102383701110709,0.12832351360076
"Xerox.Corp..Information.Technology",0.0923428016465411,0.920598956437365,0.853963839960399,0.895764643859149,0.979201718988082,0.123253183118998,0.0623544991439715,0.92868852309611,0.452270892230288,0.975590879973103
"Xilinx.Inc.Information.Technology",0.864178145919308,0.697770924295627,0.255392276048052,0.782325558572078,0.926958819129585,0.736834378133587,0.760165107404152,0.523269333664128,0.225759058032997,0.878784448067025
"XL.Capital.Financials",0.032227857801142,0.0605547176405538,0.484623034815647,0.227067843388738,0.778648046183898,0.0116354208453923,0.952773933835757,0.39548192173738,0.357531230830255,0.431384875558743
"Yahoo.Inc..Information.Technology",0.200301263794203,0.318064190659937,0.0274169209420927,0.615986999795473,0.0257497607097036,0.577360431136635,0.154385708897603,0.673178821331722,0.739768620969552,0.370920515727084
"Yum..Brands.Inc.Consumer.Discretionary",0.825737034412025,0.857414828080213,0.214948826076752,0.159502164199401,0.893027246296199,0.809659268972957,0.736710089543141,0.512315482817968,0.6085008181499,0.83973738047708
"Zimmer.Holdings.Health.Care",0.040977176392932,0.319947958883397,0.938513324442789,0.324465454377259,0.503097634111537,0.573669775045404,0.517707417829719,0.149935800279667,0.375506036210541,0.677096613882024
"Zions.Bancorp.Financials",0.942053991079474,0.00978276440503016,0.0512459260719065,0.0157994820361872,0.817948468707767,0.272591996083254,0.323984484501805,0.241961624300255,0.768915260023336,0.0768592657670938
