"Company","MaxIndex"
"Viacom.Inc..Consumer.Discretionary",1
"Visa.Inc..Information.Technology",3
"Vornado.Realty.Trust.Financials",8
"Vulcan.Materials.Materials",1
"Wal.Mart.Stores.Consumer.Staples",6
"Walgreens.Boots.Alliance.Consumer.Staples",6
"The.Walt.Disney.Company.Consumer.Discretionary",6
"Waste.Management.Inc..Industrials",5
"Waters.Corporation.Health.Care",2
"Anthem.Inc..Health.Care",2
"Wells.Fargo.Financials",10
"Western.Digital.Information.Technology",3
"Western.Union.Co.Information.Technology",1
"Weyerhaeuser.Corp..Financials",8
"Whirlpool.Corp..Consumer.Discretionary",9
"Whole.Foods.Market.Consumer.Staples",9
"Williams.Cos..Energy",7
"Wisconsin.Energy.Corporation.Utilities",5
"Wyndham.Worldwide.Consumer.Discretionary",1
"Wynn.Resorts.Ltd.Consumer.Discretionary",3
"Xcel.Energy.Inc.Utilities",5
"Xerox.Corp..Information.Technology",1
"Xilinx.Inc.Information.Technology",3
"XL.Capital.Financials",4
"Yahoo.Inc..Information.Technology",3
"Yum..Brands.Inc.Consumer.Discretionary",9
"Zimmer.Holdings.Health.Care",2
"Zions.Bancorp.Financials",10
