"Company","MinIndex"
"National.Oilwell.Varco.Inc..Energy",4
"NetApp.Information.Technology",7
"Netflix.Inc..Information.Technology",1
"Newell.Rubbermaid.Co..Consumer.Discretionary",2
"Newfield.Exploration.Co.Energy",3
"Newmont.Mining.Corp...Hldg..Co...Materials",2
"NextEra.Energy.Utilities",6
"Nike.Consumer.Discretionary",5
"NiSource.Inc..Utilities",4
"Noble.Corp.Energy",4
"Noble.Energy.Inc.Energy",3
"Nordstrom.Consumer.Discretionary",6
"Norfolk.Southern.Corp..Industrials",7
"Northern.Trust.Corp..Financials",8
"Northrop.Grumman.Corp..Industrials",6
"NRG.Energy.Utilities",3
"Nucor.Corp..Materials",4
"Nvidia.Corporation.Information.Technology",5
"O.Reilly.Automotive.Consumer.Discretionary",9
"Occidental.Petroleum.Energy",3
"Omnicom.Group.Consumer.Discretionary",5
"ONEOK.Energy",4
"Oracle.Corp..Information.Technology",7
"Owens.Illinois.Inc.Materials",7
"PACCAR.Inc..Industrials",10
"Pall.Corp..Industrials",2
"Parker.Hannifin.Industrials",7
"Patterson.Companies.Health.Care",7
"Paychex.Inc..Information.Technology",2
"Pentair.Ltd..Industrials",3
"People.s.United.Financial.Financials",8
"Pepco.Holdings.Inc..Utilities",5
"PepsiCo.Inc..Consumer.Staples",2
"PerkinElmer.Health.Care",10
"Perrigo.Health.Care",4
"Pfizer.Inc..Health.Care",7
"PG.E.Corp..Utilities",8
"Philip.Morris.International.Consumer.Staples",9
"Pinnacle.West.Capital.Utilities",8
"Pioneer.Natural.Resources.Energy",6
"Pitney.Bowes.Industrials",9
"Plum.Creek.Timber.Co..Financials",4
"PNC.Financial.Services.Financials",10
"Polo.Ralph.Lauren.Corp..Consumer.Discretionary",3
"PPG.Industries.Materials",9
"PPL.Corp..Utilities",1
"Praxair.Inc..Materials",9
"Precision.Castparts.Industrials",5
"Priceline.com.Inc.Consumer.Discretionary",9
"Principal.Financial.Group.Financials",10
"Procter...Gamble.Consumer.Staples",7
"Progressive.Corp..Financials",9
"Prologis.Financials",6
"Prudential.Financial.Financials",8
"Public.Serv..Enterprise.Inc..Utilities",8
"Public.Storage.Financials",4
"Pulte.Homes.Inc..Consumer.Discretionary",1
"PVH.Corp..Consumer.Discretionary",3
"Quanta.Services.Inc..Industrials",4
"QUALCOMM.Inc..Information.Technology",8
"Quest.Diagnostics.Health.Care",2
"Range.Resources.Corp..Energy",2
"Raytheon.Co..Industrials",5
"Realty.Income.Corporation.Financials",4
"Red.Hat.Inc..Information.Technology",10
"Regeneron.Health.Care",4
"Regions.Financial.Corp..Financials",1
"Republic.Services.Inc.Industrials",5
"Reynolds.American.Inc..Consumer.Staples",8
"Robert.Half.International.Industrials",2
"Rockwell.Automation.Inc..Industrials",9
"Rockwell.Collins.Industrials",10
"Roper.Industries.Industrials",5
"Ross.Stores.Consumer.Discretionary",2
"Royal.Caribbean.Cruises.Ltd.Consumer.Discretionary",7
"Ryder.System.Industrials",7
"Salesforce.com.Information.Technology",3
"SanDisk.Corporation.Information.Technology",7
"SCANA.Corp.Utilities",4
"Schlumberger.Ltd..Energy",4
"Scripps.Networks.Interactive.Inc..Consumer.Discretionary",3
"Seagate.Technology.Information.Technology",3
"Sealed.Air.Corp..New..Materials",4
"Sempra.Energy.Utilities",10
"Sherwin.Williams.Materials",3
"Sigma.Aldrich.Materials",7
"Simon.Property.Group.Inc.Financials",8
"Skyworks.Solutions.Information.Technology",6
"SL.Green.Realty.Financials",10
"Smucker..J.M...Consumer.Staples",7
"Snap.On.Inc..Consumer.Discretionary",1
"Southern.Co..Utilities",8
"Southwest.Airlines.Industrials",3
"Southwestern.Energy.Energy",7
"Spectra.Energy.Corp..Energy",10
"St.Jude.Medical.Health.Care",1
"Stanley.Black...Decker.Consumer.Discretionary",8
"Staples.Inc..Consumer.Discretionary",7
"Starbucks.Corp..Consumer.Discretionary",10
"Starwood.Hotels...Resorts.Consumer.Discretionary",2
"State.Street.Corp..Financials",10
"Stericycle.Inc.Industrials",7
"Stryker.Corp..Health.Care",10
"SunTrust.Banks.Financials",8
"Symantec.Corp..Information.Technology",6
"Sysco.Corp..Consumer.Staples",6
"T..Rowe.Price.Group.Financials",8
"Target.Corp..Consumer.Discretionary",10
"TE.Connectivity.Ltd..Information.Technology",6
"TECO.Energy.Utilities",8
"Tenet.Healthcare.Corp..Health.Care",8
"Teradata.Corp..Information.Technology",3
"Tesoro.Petroleum.Co..Energy",6
"Texas.Instruments.Information.Technology",6
"Textron.Inc..Industrials",10
"The.Hershey.Company.Consumer.Staples",8
"The.Travelers.Companies.Inc..Financials",1
"Thermo.Fisher.Scientific.Health.Care",3
"Tiffany...Co..Consumer.Discretionary",6
"Time.Warner.Inc..Consumer.Discretionary",6
"Time.Warner.Cable.Inc..Consumer.Discretionary",3
"TJX.Companies.Inc..Consumer.Discretionary",9
"Torchmark.Corp..Financials",3
"Total.System.Services.Information.Technology",3
"Tractor.Supply.Company.Consumer.Discretionary",10
"Transocean.Energy",2
"Twenty.First.Century.Fox.Consumer.Discretionary",9
"Tyson.Foods.Consumer.Staples",8
"Tyco.International.Industrials",3
"U.S..Bancorp.Financials",8
"Under.Armour.Consumer.Discretionary",6
"Union.Pacific.Industrials",7
"United.Health.Group.Inc..Health.Care",7
"United.Parcel.Service.Industrials",7
"United.Rentals..Inc..Industrials",2
"United.Technologies.Industrials",4
"Universal.Health.Services..Inc..Health.Care",1
"Unum.Group.Financials",5
"Urban.Outfitters.Consumer.Discretionary",10
"V.F..Corp..Consumer.Discretionary",3
"Valero.Energy.Energy",9
"Varian.Medical.Systems.Health.Care",9
"Ventas.Inc.Financials",5
"Verisign.Inc..Information.Technology",10
"Verizon.Communications.Telecommunications.Services",9
"Vertex.Pharmaceuticals.Inc.Health.Care",3
"Viacom.Inc..Consumer.Discretionary",6
"Visa.Inc..Information.Technology",6
"Vornado.Realty.Trust.Financials",10
"Vulcan.Materials.Materials",3
"Wal.Mart.Stores.Consumer.Staples",8
"Walgreens.Boots.Alliance.Consumer.Staples",6
"The.Walt.Disney.Company.Consumer.Discretionary",10
"Waste.Management.Inc..Industrials",9
"Waters.Corporation.Health.Care",9
"Anthem.Inc..Health.Care",8
"Wells.Fargo.Financials",8
"Western.Digital.Information.Technology",2
"Western.Union.Co.Information.Technology",7
"Weyerhaeuser.Corp..Financials",2
"Whirlpool.Corp..Consumer.Discretionary",6
"Whole.Foods.Market.Consumer.Staples",4
"Williams.Cos..Energy",8
"Wisconsin.Energy.Corporation.Utilities",8
"Wyndham.Worldwide.Consumer.Discretionary",3
"Wynn.Resorts.Ltd.Consumer.Discretionary",10
"Xcel.Energy.Inc.Utilities",8
"Xerox.Corp..Information.Technology",9
"Xilinx.Inc.Information.Technology",3
"XL.Capital.Financials",1
"Yahoo.Inc..Information.Technology",1
"Yum..Brands.Inc.Consumer.Discretionary",10
"Zimmer.Holdings.Health.Care",1
"Zions.Bancorp.Financials",2
