"Companies","Cluster-1","Cluster-2","Cluster-3","Cluster-4","Cluster-5","Cluster-6","Cluster-7","Cluster-8","Cluster-9","Cluster-10"
"Apartment.Investment...Mgmt.Financials",0.62641912275223,0.650474629683245,0.152321603224701,0.0346621412655254,0.382108958384998,0.455677993613935,0.627211759743825,0.656287814602182,0.426264040306034,0.220359643406415
"Apple.Inc..Information.Technology",0.027924444968631,0.961500849997853,0.225249087439084,0.847505369645773,0.0640760054701293,0.338099062879383,0.2664881062531,0.0273806560539222,0.614233241952145,0.650615145411693
"Applied.Materials.Inc.Information.Technology",0.89307379905143,0.776335415376949,0.450713431334926,0.667537639022372,0.0296487192798082,0.0150089398143774,0.44537468426353,0.243053565468653,0.623684933380923,0.954983021352895
"Archer.Daniels.Midland.Co.Consumer.Staples",0.71421809461698,0.759229876523794,0.28574752346532,0.383798734698296,0.0512905010955883,0.0089568513210587,0.433622769880486,0.335993428932547,0.272785904545545,0.253766632941004
"Assurant.Inc.Financials",0.0178378120051476,0.838136679151825,0.825819358714869,0.41913247647825,0.235978963474094,0.733713787295969,0.321972057630605,0.33275924667945,0.104787585838018,0.0529402680620599
"AT.T.Inc.Telecommunications.Services",0.470767422998573,0.701331060117687,0.463131526468904,0.141966293008923,0.206858353156802,0.72670596464108,0.747099481831468,0.42305747572038,0.0678172070556939,0.679914535415008
"Autodesk.Inc.Information.Technology",0.135366774147733,0.162936587134866,0.0643241569289091,0.177621100701388,0.275890651226919,0.012035556905096,0.83830912309305,0.708513168836318,0.852961310430937,0.483501618567963
"Automatic.Data.Processing.Information.Technology",0.0360122258767383,0.754313353266501,0.0232077893390185,0.111191058041876,0.218813218332299,0.158755586012217,0.307227056915303,0.696883779083134,0.0530518026573173,0.835074429992552
"AutoNation.Inc.Consumer.Discretionary",0.19884487687018,0.0696733273285607,0.0607108862842267,0.371816092926221,0.011364910875061,0.20268986853741,0.940662822918142,0.0108717841209215,0.172190656895188,0.78946652452865
"AutoZone.Inc.Consumer.Discretionary",0.186202474897369,0.834315089023209,0.58454914043347,0.0998344358341807,0.626182059526281,0.358711713959501,0.853865229472866,0.530853704872244,0.586537224600688,0.289115800858546
