"Date","Value"
2011-09-26,226.676
2011-09-27,226.676
2011-09-28,226.676
2011-09-29,226.676
2011-09-30,226.676
2011-10-03,226.811
2011-10-04,226.811
2011-10-05,226.811
2011-10-06,226.811
2011-10-07,226.811
2011-10-10,226.811
2011-10-11,226.811
2011-10-12,226.811
2011-10-13,226.811
2011-10-14,226.811
2011-10-17,226.811
2011-10-18,226.811
2011-10-19,226.811
2011-10-20,226.811
2011-10-21,226.811
2011-10-24,226.811
2011-10-25,226.811
2011-10-26,226.811
2011-10-27,226.811
2011-10-28,226.811
2011-10-31,226.811
2011-11-01,227.157
2011-11-02,227.157
2011-11-03,227.157
2011-11-04,227.157
2011-11-07,227.157
2011-11-08,227.157
2011-11-09,227.157
2011-11-10,227.157
2011-11-11,227.157
2011-11-14,227.157
2011-11-15,227.157
2011-11-16,227.157
2011-11-17,227.157
2011-11-18,227.157
2011-11-21,227.157
2011-11-22,227.157
2011-11-23,227.157
2011-11-25,227.157
2011-11-28,227.157
2011-11-29,227.157
2011-11-30,227.157
2011-12-01,227.145
2011-12-02,227.145
2011-12-05,227.145
2011-12-06,227.145
2011-12-07,227.145
2011-12-08,227.145
2011-12-09,227.145
2011-12-12,227.145
2011-12-13,227.145
2011-12-14,227.145
2011-12-15,227.145
2011-12-16,227.145
2011-12-19,227.145
2011-12-20,227.145
2011-12-21,227.145
2011-12-22,227.145
2011-12-23,227.145
2011-12-27,227.145
2011-12-28,227.145
2011-12-29,227.145
2011-12-30,227.145
2012-01-03,227.759
2012-01-04,227.759
2012-01-05,227.759
2012-01-06,227.759
2012-01-09,227.759
2012-01-10,227.759
2012-01-11,227.759
2012-01-12,227.759
2012-01-13,227.759
2012-01-17,227.759
2012-01-18,227.759
2012-01-19,227.759
2012-01-20,227.759
2012-01-23,227.759
2012-01-24,227.759
2012-01-25,227.759
2012-01-26,227.759
2012-01-27,227.759
2012-01-30,227.759
2012-01-31,227.759
2012-02-01,228.285
2012-02-02,228.285
2012-02-03,228.285
2012-02-06,228.285
2012-02-07,228.285
2012-02-08,228.285
2012-02-09,228.285
2012-02-10,228.285
2012-02-13,228.285
2012-02-14,228.285
2012-02-15,228.285
2012-02-16,228.285
2012-02-17,228.285
2012-02-21,228.285
2012-02-22,228.285
2012-02-23,228.285
2012-02-24,228.285
2012-02-27,228.285
2012-02-28,228.285
2012-02-29,228.285
2012-03-01,228.866
2012-03-02,228.866
2012-03-05,228.866
2012-03-06,228.866
2012-03-07,228.866
2012-03-08,228.866
2012-03-09,228.866
2012-03-12,228.866
2012-03-13,228.866
2012-03-14,228.866
2012-03-15,228.866
2012-03-16,228.866
2012-03-19,228.866
2012-03-20,228.866
2012-03-21,228.866
2012-03-22,228.866
2012-03-23,228.866
2012-03-26,228.866
2012-03-27,228.866
2012-03-28,228.866
2012-03-29,228.866
2012-03-30,228.866
2012-04-02,229.172
2012-04-03,229.172
2012-04-04,229.172
2012-04-05,229.172
2012-04-09,229.172
2012-04-10,229.172
2012-04-11,229.172
2012-04-12,229.172
2012-04-13,229.172
2012-04-16,229.172
2012-04-17,229.172
2012-04-18,229.172
2012-04-19,229.172
2012-04-20,229.172
2012-04-23,229.172
2012-04-24,229.172
2012-04-25,229.172
2012-04-26,229.172
2012-04-27,229.172
2012-04-30,229.172
2012-05-01,228.785
2012-05-02,228.785
2012-05-03,228.785
2012-05-04,228.785
2012-05-07,228.785
2012-05-08,228.785
2012-05-09,228.785
2012-05-10,228.785
2012-05-11,228.785
2012-05-14,228.785
2012-05-15,228.785
2012-05-16,228.785
2012-05-17,228.785
2012-05-18,228.785
2012-05-21,228.785
2012-05-22,228.785
2012-05-23,228.785
2012-05-24,228.785
2012-05-25,228.785
2012-05-29,228.785
2012-05-30,228.785
2012-05-31,228.785
2012-06-01,228.626
2012-06-04,228.626
2012-06-05,228.626
2012-06-06,228.626
2012-06-07,228.626
2012-06-08,228.626
2012-06-11,228.626
2012-06-12,228.626
2012-06-13,228.626
2012-06-14,228.626
2012-06-15,228.626
2012-06-18,228.626
2012-06-19,228.626
2012-06-20,228.626
2012-06-21,228.626
2012-06-22,228.626
2012-06-25,228.626
2012-06-26,228.626
2012-06-27,228.626
2012-06-28,228.626
2012-06-29,228.626
2012-07-02,228.584
2012-07-03,228.584
2012-07-05,228.584
2012-07-06,228.584
2012-07-09,228.584
2012-07-10,228.584
2012-07-11,228.584
2012-07-12,228.584
2012-07-13,228.584
2012-07-16,228.584
2012-07-17,228.584
2012-07-18,228.584
2012-07-19,228.584
2012-07-20,228.584
2012-07-23,228.584
2012-07-24,228.584
2012-07-25,228.584
2012-07-26,228.584
2012-07-27,228.584
2012-07-30,228.584
2012-07-31,228.584
2012-08-01,229.911
2012-08-02,229.911
2012-08-03,229.911
2012-08-06,229.911
2012-08-07,229.911
2012-08-08,229.911
2012-08-09,229.911
2012-08-10,229.911
2012-08-13,229.911
2012-08-14,229.911
2012-08-15,229.911
2012-08-16,229.911
2012-08-17,229.911
2012-08-20,229.911
2012-08-21,229.911
2012-08-22,229.911
2012-08-23,229.911
2012-08-24,229.911
2012-08-27,229.911
2012-08-28,229.911
2012-08-29,229.911
2012-08-30,229.911
2012-08-31,229.911
2012-09-04,231.104
2012-09-05,231.104
2012-09-06,231.104
2012-09-07,231.104
2012-09-10,231.104
2012-09-11,231.104
2012-09-12,231.104
2012-09-13,231.104
2012-09-14,231.104
2012-09-17,231.104
2012-09-18,231.104
2012-09-19,231.104
2012-09-20,231.104
2012-09-21,231.104
2012-09-24,231.104
2012-09-25,231.104
2012-09-26,231.104
2012-09-27,231.104
2012-09-28,231.104
2012-10-01,231.741
2012-10-02,231.741
2012-10-03,231.741
2012-10-04,231.741
2012-10-05,231.741
2012-10-08,231.741
2012-10-09,231.741
2012-10-10,231.741
2012-10-11,231.741
2012-10-12,231.741
2012-10-15,231.741
2012-10-16,231.741
2012-10-17,231.741
2012-10-18,231.741
2012-10-19,231.741
2012-10-22,231.741
2012-10-23,231.741
2012-10-24,231.741
2012-10-25,231.741
2012-10-26,231.741
2012-10-31,231.741
2012-11-01,231.202
2012-11-02,231.202
2012-11-05,231.202
2012-11-06,231.202
2012-11-07,231.202
2012-11-08,231.202
2012-11-09,231.202
2012-11-12,231.202
2012-11-13,231.202
2012-11-14,231.202
2012-11-15,231.202
2012-11-16,231.202
2012-11-19,231.202
2012-11-20,231.202
2012-11-21,231.202
2012-11-23,231.202
2012-11-26,231.202
2012-11-27,231.202
2012-11-28,231.202
2012-11-29,231.202
2012-11-30,231.202
2012-12-03,231.165
2012-12-04,231.165
2012-12-05,231.165
2012-12-06,231.165
2012-12-07,231.165
2012-12-10,231.165
2012-12-11,231.165
2012-12-12,231.165
2012-12-13,231.165
2012-12-14,231.165
2012-12-17,231.165
2012-12-18,231.165
2012-12-19,231.165
2012-12-20,231.165
2012-12-21,231.165
2012-12-24,231.165
2012-12-26,231.165
2012-12-27,231.165
2012-12-28,231.165
2012-12-31,231.165
2013-01-02,231.444
2013-01-03,231.444
2013-01-04,231.444
2013-01-07,231.444
2013-01-08,231.444
