Date,Quote
3/31/2011,-0.183285495
4/1/2011,0.493847827
4/4/2011,0.034509067
4/5/2011,-0.01800875
4/6/2011,0.217891932
4/7/2011,-0.152232003
4/8/2011,-0.402054392
4/11/2011,-0.280120435
4/12/2011,-0.783765046
4/13/2011,0.01901994
4/14/2011,0.008367008
4/15/2011,0.39100644
4/18/2011,-1.114059705
4/19/2011,0.56985114
4/20/2011,1.33347291
4/21/2011,0.524908401
4/25/2011,-0.159521063
4/26/2011,0.889966902
4/27/2011,0.621102916
4/28/2011,0.354282758
4/29/2011,0.22953814
5/2/2011,-0.175578823
5/3/2011,-0.339076235
5/4/2011,-0.690262846
5/5/2011,-0.915285014
5/6/2011,0.380538366
5/9/2011,0.452360771
5/10/2011,0.800936863
5/11/2011,-1.123634843
5/12/2011,0.487158854
5/13/2011,-0.813294052
5/16/2011,-0.624312634
5/17/2011,-0.036869705
5/18/2011,0.872696954
5/19/2011,0.217320784
5/20/2011,-0.774783491
5/23/2011,-1.206952114
5/24/2011,-0.082806544
5/25/2011,0.317306875
5/26/2011,0.393754968
5/27/2011,0.406433408
5/31/2011,1.048169455
6/1/2011,-2.331588822
6/2/2011,-0.122633789
6/3/2011,-0.982948765
6/6/2011,-1.087724758
6/7/2011,-0.095732334
6/8/2011,-0.420447791
6/9/2011,0.732346082
6/10/2011,-1.417805181
6/13/2011,0.066830947
6/14/2011,1.245470355
6/15/2011,-1.774110589
6/16/2011,0.175126296
6/17/2011,0.303577271
6/20/2011,0.536623884
6/21/2011,1.324567335
6/22/2011,-0.65105621
6/23/2011,-0.283600701
6/24/2011,-1.186491354
6/27/2011,0.91008712
6/28/2011,1.277893947
6/29/2011,0.821470673
6/30/2011,1.001785562
7/1/2011,1.420501196
7/5/2011,-0.133796678
7/6/2011,0.100055706
7/7/2011,1.03456942
7/8/2011,-0.700991342
7/11/2011,-1.84238298
7/12/2011,-0.445325579
7/13/2011,0.309622385
7/14/2011,-0.676153937
7/15/2011,0.552374361
7/18/2011,-0.819652721
7/19/2011,1.604700227
7/20/2011,-0.067128313
7/21/2011,1.336514537
7/22/2011,0.090702813
7/25/2011,-0.567503772
7/26/2011,-0.412189231
7/27/2011,-2.072965973
7/28/2011,-0.324445928
7/29/2011,-0.649241249
8/1/2011,-0.414944616
8/2/2011,-2.62269373
8/3/2011,0.499065107
8/4/2011,-5.02220893
8/5/2011,-0.057524804
8/8/2011,-7.139160558
8/9/2011,4.526115894
8/10/2011,-4.619188634
8/11/2011,4.424205582
8/12/2011,0.523412907
8/15/2011,2.132016971
8/16/2011,-0.983431696
8/17/2011,0.094649003
8/18/2011,-4.667513249
8/19/2011,-1.523768351
8/22/2011,0.02579746
8/23/2011,3.314838972
8/24/2011,1.29500682
8/25/2011,-1.581163636
8/26/2011,1.489635305
8/29/2011,2.750223804
8/30/2011,0.234152945
8/31/2011,0.489787506
9/1/2011,-1.201405695
9/2/2011,-2.593769326
9/6/2011,-0.749200257
9/7/2011,2.784869695
9/8/2011,-1.072600619
9/9/2011,-2.743824415
9/12/2011,0.691753195
9/13/2011,0.903763848
9/14/2011,1.330051678
9/15/2011,1.689666883
9/16/2011,0.567431595
9/19/2011,-0.989962904
9/20/2011,-0.166376898
9/21/2011,-3.028039674
9/22/2011,-3.293313242
9/23/2011,0.604524227
9/26/2011,2.280398823
9/27/2011,1.05753492
9/28/2011,-2.112830326
9/29/2011,0.804891831
9/30/2011,-2.561381173
10/3/2011,-2.928419401
10/4/2011,2.199383609
10/5/2011,1.755205501
10/6/2011,1.797466246
10/7/2011,-0.823049722
10/10/2011,3.299889823
10/11/2011,0.054370743
10/12/2011,0.969969849
10/13/2011,-0.29825415
10/14/2011,1.708334511
10/17/2011,-1.97524868
10/18/2011,2.001013555
10/19/2011,-1.281118783
10/20/2011,0.453353239
10/21/2011,1.846152635
10/24/2011,1.270935165
10/25/2011,-2.045473414
10/26/2011,1.042669163
10/27/2011,3.315452178
10/28/2011,0.038907782
10/31/2011,-2.536496909
11/1/2011,-2.874546013
11/2/2011,1.584941806
11/3/2011,1.84355545
11/4/2011,-0.631970518
11/7/2011,0.625635549
11/8/2011,1.159951132
11/9/2011,-3.809296958
11/10/2011,0.855043593
11/11/2011,1.91083004
11/14/2011,-0.964222685
11/15/2011,0.479407042
11/16/2011,-1.689696455
11/17/2011,-1.708701283
11/18/2011,-0.039483485
11/21/2011,-1.900287044
11/22/2011,-0.415805936
11/23/2011,-2.259444402
11/25/2011,-0.269273812
11/28/2011,2.840971331
11/29/2011,0.220876357
11/30/2011,4.151698661
12/1/2011,-0.191229578
12/2/2011,-0.024104461
12/5/2011,1.018226958
12/6/2011,0.110452775
12/7/2011,0.201428932
12/8/2011,-2.159844008
12/9/2011,1.660303697
12/12/2011,-1.513985009
12/13/2011,-0.876211823
12/14/2011,-1.1478631
12/15/2011,0.32326169
12/16/2011,0.320583924
12/19/2011,-1.187211871
12/20/2011,2.896163021
12/21/2011,0.194571291
12/22/2011,0.819779027
12/23/2011,0.89541514
12/27/2011,0.007910196
12/28/2011,-1.263567012
12/29/2011,1.059366027
12/30/2011,-0.430983151
1/3/2012,1.523818936
1/4/2012,0.018788851
1/5/2012,0.293507707
1/6/2012,-0.254341401
1/9/2012,0.225649419
1/10/2012,0.880750835
1/11/2012,0.030950112
1/12/2012,0.233116171
1/13/2012,-0.497252649
1/17/2012,0.354037571
1/18/2012,1.098589842
1/19/2012,0.491438646
1/20/2012,0.066901199
1/23/2012,0.047112082
1/24/2012,-0.102687101
1/25/2012,0.860446322
1/26/2012,-0.578718983
1/27/2012,-0.159541914
1/30/2012,-0.252850014
1/31/2012,-0.045715591
2/1/2012,0.882110151
2/2/2012,0.109394885
2/3/2012,1.43951109
2/6/2012,-0.042405363
2/7/2012,0.201929617
2/8/2012,0.21555543
2/9/2012,0.147194058
2/10/2012,-0.693405224
2/13/2012,0.675411118
2/14/2012,-0.094040726
2/15/2012,-0.541234197
2/16/2012,1.090546565
2/17/2012,0.234342547
2/21/2012,0.071940525
2/22/2012,-0.335130068
2/23/2012,0.425383008
2/24/2012,0.166944588
2/27/2012,0.135272709
2/28/2012,0.33451062
2/29/2012,-0.475953352
3/1/2012,0.612035035
3/2/2012,-0.325632542
3/5/2012,-0.388472669
3/6/2012,-1.561009054
3/7/2012,0.685333015
3/8/2012,0.972247708
3/9/2012,0.361811187
3/12/2012,0.016043513
3/13/2012,1.780865065
3/14/2012,-0.119769484
3/15/2012,0.593180318
3/16/2012,0.111814663
3/19/2012,0.39581174
3/20/2012,-0.300954802
3/21/2012,-0.187470505
3/22/2012,-0.725885336
3/23/2012,0.309922343
3/26/2012,1.369564978
3/27/2012,-0.282473165
3/28/2012,-0.496604921
3/29/2012,-0.161051961
3/30/2012,0.368480841
4/2/2012,0.744874543
4/3/2012,-0.40046088
4/4/2012,-1.030768886
4/5/2012,-0.062943825
4/9/2012,-1.148893471
4/10/2012,-1.737830073
4/11/2012,0.739381994
4/12/2012,1.359209678
4/13/2012,-1.263259226
4/16/2012,-0.050385451
4/17/2012,1.525049437
4/18/2012,-0.407180064
4/19/2012,-0.596982449
4/20/2012,0.116789984
4/23/2012,-0.847885679
4/24/2012,0.366628287
4/25/2012,1.346092285
4/26/2012,0.663583704
4/27/2012,0.240850889
4/30/2012,-0.389864216
5/1/2012,0.5626547
5/2/2012,-0.25029322
5/3/2012,-0.771798287
5/4/2012,-1.641221999
5/7/2012,0.035045782
5/8/2012,-0.429705887
5/9/2012,-0.674749022
5/10/2012,0.25110892
5/11/2012,-0.339885395
5/14/2012,-1.123774743
5/15/2012,-0.577904333
5/16/2012,-0.442329769
5/17/2012,-1.528138209
5/18/2012,-0.744276201
5/21/2012,1.578280926
5/22/2012,0.048610088
5/23/2012,0.169083908
5/24/2012,0.137813015
5/25/2012,-0.217033291
5/29/2012,1.095757908
5/30/2012,-1.454337007
5/31/2012,-0.228186037
6/1/2012,-2.52651842
6/4/2012,0.010954247
6/5/2012,0.569424037
6/6/2012,2.25300958
6/7/2012,-0.01064761
6/8/2012,0.804885395
6/11/2012,-1.278141636
6/12/2012,1.151656072
6/13/2012,-0.707292602
6/14/2012,1.06989476
6/15/2012,1.023203833
6/18/2012,0.144266197
6/19/2012,0.972028395
6/20/2012,-0.168920557
6/21/2012,-2.27685425
6/22/2012,0.712349617
6/25/2012,-1.621353825
6/26/2012,0.475005042
6/27/2012,0.890489636
6/28/2012,-0.211426061
6/29/2012,2.431432003
7/2/2012,0.245327824
7/3/2012,0.619351238
7/5/2012,-0.470909505
7/6/2012,-0.952247135
7/9/2012,-0.164152216
7/10/2012,-0.819249796
7/11/2012,-0.001492415
7/12/2012,-0.501209277
7/13/2012,1.62296161
7/16/2012,-0.231968172
7/17/2012,0.735517294
7/18/2012,0.663615787
7/19/2012,0.270973765
7/20/2012,-1.016392618
7/23/2012,-0.898914035
