"Date","X3M.Conglomerate","American.Express.Consumer.finance","Apple.Consumer.electronics","Boeing.Aerospace.and.defense","Caterpillar.Construction.and.mining.equipment","Chevron.Oil...gas","Cisco.Systems.Computer.networking","Coca.Cola.Beverages","DuPont.Chemical.industry","ExxonMobil.Oil...gas","General.Electric.Conglomerate","Goldman.Sachs.Banking..Financial.services","The.Home.Depot.Home.improvement.retailer","Intel.Semiconductors","IBM.Computers.and.technology","Johnson...Johnson.Pharmaceuticals","JPMorgan.Chase.Banking","McDonald.s.Fast.food","Merck.Pharmaceuticals","Microsoft.Consumer.electronics","Nike.Apparel","Pfizer.Pharmaceuticals","Procter...Gamble.Consumer.goods","Travelers.Insurance","UnitedHealth.Group.Managed.health.care","United.Technologies.Conglomerate","Verizon.Telecommunication","Visa.Consumer.banking","Wal.Mart.Retail","Walt.Disney.Broadcasting.and.entertainment"
2010-02-25,70.038602,35.357851,27.106461,55.692303,50.028256,60.325744,21.884999,22.598187,28.305369,56.670783,13.340446,145.889161,27.424501,17.299316,114.324953,53.353242,35.980189,54.402696,29.578247,24.852445,30.670049,14.544015,54.006855,45.757843,30.89541,60.846455,20.906678,20.476623,47.292089,29.308041
2010-02-26,70.398724,35.497273,27.458044,55.949195,50.257298,60.484696,21.884999,22.428021,28.474256,56.548985,13.457761,146.13217,27.28458,17.215462,114.405929,53.117167,37.157692,53.954834,29.828979,24.913272,31.337593,14.428912,53.650764,45.619051,31.274098,60.828736,20.942878,20.488635,47.222219,29.195893
2010-03-01,70.776409,35.441506,28.04445,56.693295,50.962044,60.911347,22.127866,22.662001,28.736028,56.89698,13.323686,146.309741,27.485716,17.50057,115.67451,53.445987,37.033745,54.064688,30.144416,25.217411,31.63428,14.593344,53.845765,46.044102,31.440352,61.705944,20.986311,20.858622,47.073751,29.476264
2010-03-02,71.25949,35.683172,28.025665,57.083063,51.226327,61.338004,22.136862,22.674763,28.736028,56.975276,13.323686,148.375319,27.424501,17.358016,114.639847,53.488143,36.847822,54.14074,30.241472,24.730788,31.53693,14.470021,54.015332,46.226265,31.357225,61.803413,21.181769,20.769728,46.80301,29.794015
2010-03-03,71.145309,35.580927,28.090083,57.091917,51.596318,61.179052,22.343748,22.942776,28.930247,56.923079,13.432623,147.412633,27.520696,17.207076,114.154007,53.45442,36.768141,53.76893,30.095886,24.730788,31.356136,14.239815,53.879679,46.078797,31.495767,61.670501,21.087663,20.853818,46.864144,29.569719
2010-03-04,71.162873,36.147918,28.275264,58.066338,51.490607,61.137227,22.442694,23.172502,29.183579,56.89698,13.49966,152.917707,27.494462,17.215462,114.010059,53.597751,37.113423,53.599925,30.039269,24.878512,31.477148,14.248037,53.981418,46.4518,30.433595,62.352779,21.189008,20.911477,47.12615,30.438867
2010-03-05,72.410116,37.365553,29.38099,60.174617,52.177735,62.157855,22.676564,23.270348,29.529796,57.827863,13.700772,156.254392,27.809282,17.433486,114.486899,53.994023,37.901377,53.802729,30.322355,24.843755,31.798297,14.371361,53.998375,46.790104,31.163264,63.132518,21.160056,21.264647,47.283354,31.046338
2010-03-08,71.417591,36.9101,29.398433,59.563391,51.895836,62.442289,23.504111,23.168247,29.867567,57.836565,13.633735,158.740558,27.949203,17.416714,113.731154,54.12892,37.706602,55.028019,30.209119,24.878512,32.031013,14.264481,53.574459,46.955933,30.572138,62.698346,21.449618,21.773979,47.292089,31.018298
2010-03-09,72.014861,36.900807,29.927147,60.050601,52.133688,62.157855,23.504111,23.049131,29.766236,58.097556,13.818087,157.815266,27.91044,17.559268,112.957411,54.187939,37.556092,55.011115,29.958389,25.026237,32.082211,14.165821,53.667721,46.755193,30.553668,63.602134,21.652315,21.658659,47.213487,31.130449
2010-03-10,71.637175,36.919397,30.171372,62.017151,51.781313,61.873415,23.27024,23.057639,29.724015,58.480352,13.834847,160.703324,27.93687,17.768906,113.02039,54.204805,38.007617,54.875914,29.659127,25.173961,32.170644,14.100048,53.421849,46.161698,30.701449,63.610997,21.536491,21.987803,47.101946,31.149141
2010-03-11,71.373678,37.281898,30.259943,62.070299,51.887028,61.898511,23.36019,22.989014,29.850678,58.480352,13.809707,162.170714,28.306896,17.819219,114.801793,54.145786,38.228952,55.104068,30.141324,25.356445,32.463865,14.215151,53.557502,46.798832,30.941591,63.832515,21.601643,22.280909,47.400559,31.597733
2010-03-12,71.479074,37.886066,30.407549,61.857701,53.173191,61.672637,23.279234,22.881789,29.968901,58.11496,14.27897,163.525964,28.58882,17.83599,115.107695,54.11206,38.202393,55.374476,30.370162,25.434652,32.53368,14.042497,53.684678,46.39735,30.396649,63.380617,21.522011,22.403438,47.33908,31.485582
2010-03-15,71.373678,37.830298,30.03718,61.476793,52.38916,61.547149,23.459136,23.01046,29.960455,57.679968,14.488462,162.189411,28.80026,17.752135,115.008727,54.44088,38.131564,55.712487,30.852358,25.452032,32.761741,14.190486,54.006855,46.022052,30.045669,63.655296,21.616122,22.201628,48.674057,31.513622
2010-03-16,71.725014,38.034784,30.119042,60.874426,52.371541,61.89015,23.522101,23.031905,30.348893,57.91486,15.142076,164.675577,28.676919,18.456518,115.764472,54.407154,38.282074,55.83079,31.00764,25.521549,32.757085,14.190486,53.862722,46.126785,30.525957,64.151501,21.666795,22.019036,49.174678,31.541658
2010-03-17,72.181747,38.118438,30.074753,61.459072,53.049861,62.467385,23.621047,23.091951,30.813334,58.602149,15.116938,165.096166,28.65049,18.649384,114.945748,54.508332,38.76901,56.092746,31.122062,25.747479,32.989801,14.149377,54.269684,46.248978,30.248869,63.965427,21.826052,21.985401,49.113195,31.541658
2010-03-18,73.490467,38.109145,30.14588,62.778968,52.65344,62.542681,23.693008,23.13913,31.303103,58.628247,15.242633,165.853228,28.54477,18.615843,115.503565,54.854012,38.636207,56.346256,31.424455,25.730101,34.749136,14.165821,54.032289,46.589365,31.024718,64.240106,21.934644,21.653853,49.130761,31.569693
2010-03-19,71.988512,37.486387,29.82382,62.646092,52.301065,62.726729,23.522101,23.482249,31.125773,58.323754,15.142076,166.273816,28.509528,18.439746,114.900761,54.896171,38.467994,56.219501,31.105716,25.712721,34.218541,13.90273,54.125551,46.659186,31.763621,64.895796,22.01427,21.343929,48.603797,31.438855
2010-03-22,71.883109,38.183506,30.159293,63.700235,52.812008,62.291704,23.639038,23.392181,31.911095,58.262856,15.142076,164.647539,28.78264,18.649384,115.143684,54.887738,38.724743,56.625115,31.301862,25.721411,34.386096,14.100048,54.159465,46.598091,30.756864,64.337574,22.188014,21.44003,48.849713,31.728572
2010-03-23,72.331063,38.332224,30.643726,63.939407,54.979106,62.551042,23.962859,23.718143,32.3502,58.245452,15.359948,163.404455,28.712161,19.009962,116.39426,55.106953,39.468428,56.912421,31.465319,25.964721,34.67001,14.420691,54.710553,47.043214,30.627557,64.762885,22.426904,21.617817,49.086848,31.784644
2010-03-24,71.681095,38.118438,30.779252,64.063423,54.67078,61.848318,23.791954,23.426492,32.738638,57.853962,15.460505,163.011905,28.474287,18.80871,115.638515,54.592644,39.787148,56.447661,31.06485,25.764859,34.153381,14.478242,53.93055,47.18286,30.221161,64.718585,22.05047,21.322307,48.814584,32.13978
2010-03-25,71.083825,38.49953,30.414257,64.214012,54.741253,61.739565,23.773964,23.503694,31.944873,57.679968,15.334808,163.469873,28.73859,18.741625,116.277308,54.44088,39.787148,56.532162,30.876875,26.077687,34.241814,14.297366,53.939027,47.200316,30.590611,64.922377,21.941885,21.721125,48.840932,32.793978
2010-03-26,71.145309,38.220683,30.984563,64.302594,55.005533,62.266608,23.809943,23.43936,31.82665,57.888762,15.368328,161.57254,28.853122,18.649384,116.295292,54.280684,39.857977,56.836371,30.590828,25.773549,34.390752,14.091826,53.998375,47.435966,30.138034,65.232508,21.985317,21.682684,48.753102,32.999584
2010-03-29,71.461511,38.5553,31.184509,65.649064,55.921705,62.935874,23.845924,23.490827,31.851985,58.549952,15.418605,162.675431,28.720969,18.724854,115.692495,54.651663,39.716322,56.675815,30.966777,25.712721,34.427987,14.20693,54.032289,47.793808,30.331996,65.569212,22.043229,21.680281,48.955109,32.859398
2010-03-30,74.026253,38.545965,31.648812,65.135279,55.639806,62.994435,23.971854,23.533717,31.902649,58.332456,15.334808,160.179924,28.80026,18.73324,115.854448,54.719115,39.468428,56.819467,30.778803,25.869135,34.353516,14.190486,53.972941,47.069397,30.535195,65.684399,22.607881,21.862873,49.104414,32.803322
2010-03-31,73.402635,38.517957,31.534749,64.320315,55.366716,63.437821,23.414161,23.589474,31.446658,58.271557,15.251013,159.478938,28.500716,18.691313,115.3866,54.97205,39.618935,56.380057,30.525444,25.452032,34.209234,14.100048,53.642287,47.078123,30.174977,65.223645,22.455865,21.87008,48.832147,32.625756
2010-04-01,73.648568,38.928718,31.664911,64.656929,56.370983,64.157279,23.234259,23.718143,32.012426,58.819645,15.359948,159.095729,28.527149,18.775167,115.3866,55.452633,40.044371,57.106779,30.819666,25.339065,34.446605,14.042497,53.718592,47.060667,30.498546,65.684399,22.644081,22.235263,48.735539,33.223879
2010-04-05,73.947206,39.834251,32.003072,63.81539,57.251914,64.968763,23.540092,23.529428,32.443085,59.324238,15.527542,161.843596,28.773831,18.942878,116.376276,55.140679,40.186184,57.487038,30.558136,25.434652,34.493147,13.894508,54.057723,46.545726,30.637216,66.32237,22.774385,22.216042,48.735539,32.915473
2010-04-06,74.087737,40.254346,32.143973,64.098857,57.516197,65.152805,23.585066,23.284956,32.772416,59.071941,15.586199,161.600578,28.676919,18.783552,115.998389,55.064794,40.629349,57.301131,30.443718,25.4781,34.400062,13.943837,53.506634,45.899862,30.886826,66.162877,22.586169,22.199225,48.770668,33.149115
2010-04-07,73.481689,39.554189,32.286215,63.868538,56.793831,64.726154,23.693008,23.083372,32.755527,58.584746,15.502402,164.834465,28.729781,18.825481,115.593527,54.988916,40.168457,57.208178,30.067769,25.504169,34.251121,14.034275,52.989457,45.821311,30.443076,65.560349,22.229638,21.7932,48.551099,33.008928
2010-04-08,72.858063,40.786465,32.198987,64.027988,56.802643,64.968763,23.639038,23.057638,33.051077,59.037141,15.55268,167.769258,29.046946,18.708083,114.810792,54.744407,40.558441,58.103909,30.059594,25.99948,34.437294,14.091826,53.040328,45.611841,30.156487,65.303388,22.170831,21.980595,48.638929,33.336026
2010-04-09,73.332366,40.96384,32.445903,64.152004,57.498575,66.508066,23.92688,23.413625,33.093298,59.820128,15.519162,167.414088,29.293628,18.909335,115.845442,54.921464,40.753434,58.036305,30.21488,26.364446,34.991159,14.182264,53.184458,45.734034,29.823674,65.560349,22.112023,22.228054,48.366662,33.850041
2010-04-12,73.147916,41.579978,32.513,63.709088,58.784745,67.286085,23.863915,23.486537,32.848415,59.776627,15.678375,166.21774,29.49626,18.900951,115.485567,54.896171,40.895247,57.90955,30.116804,26.347066,35.154059,14.215151,53.159024,45.402374,29.823674,65.356557,22.009112,22.389024,48.322749,33.541632
2010-04-13,73.727622,42.000073,32.531783,63.062434,58.309039,67.102036,23.782959,23.598052,32.603529,59.733131,15.879488,167.535597,30.25393,19.093817,116.088365,55.376755,40.655937,58.239109,29.994214,26.460033,35.144752,14.124713,53.413372,45.576932,29.731227,65.090733,22.104671,22.292923,48.059267,33.494904
2010-04-14,74.122871,43.372378,32.969243,63.514204,59.269254,67.411573,24.178741,23.568029,32.82308,59.689629,16.214675,172.835047,30.817777,19.722731,118.085701,55.216558,42.304511,58.661622,29.593745,26.78155,35.279728,14.034275,53.574459,46.179154,28.705056,65.569212,21.942952,22.646093,47.989003,33.831349
2010-04-15,74.658657,43.568421,33.402679,63.859678,60.097335,68.256514,24.475578,23.272088,33.211521,59.385136,16.34037,172.227532,30.958739,20.309716,117.761809,55.233424,42.375419,58.44192,29.454808,26.824999,35.205257,13.968502,53.413372,46.152971,28.316775,66.109715,21.715065,22.691739,47.541084,34.018263
2010-04-16,73.569521,42.102759,33.198712,62.7081,58.916879,67.55379,24.268692,23.576608,32.64575,59.09804,15.896247,150.197879,30.844206,20.058151,117.527891,54.820286,40.372312,58.332063,29.185104,26.651205,34.986504,13.812291,53.286196,45.507107,28.409223,65.294532,21.744473,22.547589,47.523518,33.48556
2010-04-19,73.692488,42.718897,33.154423,62.858689,59.013783,68.03064,24.349647,23.726722,33.245296,59.359038,15.871109,152.646666,30.985168,20.125235,118.967404,55.671849,40.2305,59.084134,29.340389,26.972723,35.177333,13.804071,53.599896,46.423533,28.871462,65.356557,21.854736,22.372206,47.769434,33.803309
2010-04-20,74.895805,43.129658,32.821634,63.257318,59.463061,68.641346,24.448594,23.362158,33.067966,60.002824,15.921386,149.524932,30.99398,20.225862,116.682171,55.638123,40.664803,59.439043,29.471154,27.250792,35.540369,13.779406,53.574459,46.406077,28.640343,65.746423,21.876792,22.59564,47.883611,34.149102
2010-04-21,75.273491,42.933615,34.78484,65.693358,59.683295,68.532586,24.502564,23.242065,32.991967,59.959322,15.946526,148.543549,31.073271,19.957524,116.052383,55.132246,40.195046,59.455947,28.392344,27.224723,35.707924,13.64786,53.947507,46.083147,27.974719,68.165398,21.72977,22.374607,47.839698,34.167794
2010-04-22,75.580914,43.661777,35.757716,66.960093,59.842853,67.930248,24.574524,23.293534,33.329741,59.646128,15.879488,148.655716,31.469727,20.116849,116.178341,54.617937,39.654387,60.022112,27.59958,27.27686,36.410727,13.5492,53.913593,46.947207,28.159613,67.722363,21.523938,22.857513,47.857263,34.373396
2010-04-23,76.046432,44.85671,36.342789,66.55261,60.968615,69.160021,24.70945,23.109107,33.963066,60.237717,15.980044,147.113539,32.060003,20.158778,116.952084,54.837152,39.831651,60.123518,28.980784,26.903205,36.257134,13.90273,53.871202,46.589365,28.612609,67.757807,21.354867,23.205877,47.892392,34.382744
2010-04-26,76.801802,44.007187,36.164317,65.852802,63.51267,69.093093,24.799401,23.044771,34.579501,60.281219,16.172776,142.094486,32.148106,19.974296,117.617853,54.601077,38.901005,60.01366,28.604835,27.033551,36.312984,13.828735,54.210333,45.315093,27.595683,67.695782,21.274003,23.064129,47.462039,34.616386
2010-04-27,77.26732,42.746906,35.163262,64.205159,60.747008,67.118771,24.295677,22.675918,33.270631,59.393831,15.669997,143.038475,31.090892,19.580177,115.899436,54.196372,37.589238,59.5996,28.179849,26.807619,35.717231,13.532757,53.506634,44.10192,27.549458,65.852754,21.134332,22.331362,47.462039,33.943496
2010-04-28,77.504468,43.017634,35.104213,64.107717,61.137039,67.445037,24.322663,22.886079,33.321295,60.194222,15.879488,146.749027,31.002789,19.504707,117.051051,54.483039,38.519883,59.439043,28.245233,26.859757,35.577604,13.590309,53.969693,44.616864,28.141125,66.154022,21.406323,22.489929,47.08438,33.91546
