"Companies","Cluster-1","Cluster-2","Cluster-3","Cluster-4","Cluster-5","Cluster-6","Cluster-7","Cluster-8","Cluster-9","Cluster-10"
"Analog.Devices..Inc..Information.Technology",0.650007909504909,0.612011480934766,0.186357905650754,0.412996420857014,0.985772997938975,0.780150984508668,0.833670538931251,0.324636614010667,0.723885385618232,0.918615476817772
"Aon.plc.Financials",0.925031195595301,0.0815297789935298,0.0771006833729649,0.016457817589528,0.716201007739394,0.796702727983906,0.604475542536628,0.140739325304935,0.912436893871526,0.537968406943873
"Apache.Corporation.Energy",0.507937464153589,0.838222750753365,0.99379780948406,0.765592479210671,0.420550590288792,0.705259639300866,0.419156170742515,0.194950625569988,0.635217750659245,0.481940773932866
"Apartment.Investment...Mgmt.Financials",0.373462633807867,0.597887918321523,0.700869582245002,0.189825071421402,0.952509847831819,0.559165745734195,0.690089518401212,0.621497595263438,0.636785788588244,0.600364637602342
"Apple.Inc..Information.Technology",0.020600476947288,0.986324892355245,0.38409962881368,0.803601319525799,0.10222255967657,0.401065387012997,0.34561160005709,0.0257063763366904,0.453989360417269,0.684102964554412
"Applied.Materials.Inc.Information.Technology",0.863924439266755,0.610530763445295,0.380740048955009,0.712934768469821,0.0863735738115326,0.0286696717395243,0.724692987043982,0.237241667238224,0.803442200769644,0.791550361409575
"Archer.Daniels.Midland.Co.Consumer.Staples",0.620058664128982,0.654329768053895,0.378120393380334,0.396103363272986,0.0340399123002367,0.0034647874725046,0.456774811857889,0.28486941042634,0.445623532866715,0.228989949285128
"Assurant.Inc.Financials",0.157536023734825,0.808156197589785,0.900003140200252,0.333967420880414,0.17855626066247,0.743232329702208,0.366173645592246,0.179740605254798,0.210102414207524,0.32141443827575
"AT.T.Inc.Telecommunications.Services",0.328229876609557,0.48537937245019,0.139240556500017,0.202364790379144,0.446869401033059,0.329213918341866,0.666875038257733,0.37694436707276,0.125419146391615,0.558350389671556
"Autodesk.Inc.Information.Technology",0.103916235085228,0.158104410097067,0.10024223227358,0.156384567079552,0.477125928247012,0.0120043426482399,0.965943444780648,0.889619551278728,0.764547511413269,0.0887707782808536
"Automatic.Data.Processing.Information.Technology",0.0272668454136748,0.647919710482117,0.0159475363582692,0.0799645074188787,0.321186317578329,0.107612422405847,0.232101585310977,0.684022835476566,0.0772926195705107,0.89897773011434
"AutoNation.Inc.Consumer.Discretionary",0.33893866064799,0.0472809964560661,0.198313883514972,0.686395708824502,0.00426388703320888,0.118851742553052,0.895638300501485,0.0137124492744766,0.550292601930678,0.986915838980308
"AutoZone.Inc.Consumer.Discretionary",0.0471934978299621,0.712072582106006,0.0905829374844133,0.0311294563269747,0.513499992734995,0.263277800882996,0.929443098416237,0.603519040379966,0.880575970283261,0.136745791404886
"Avago.Technologies.Information.Technology",0.679815732305281,0.173351605577388,0.740357147886012,0.172838735220335,0.874497063615882,0.21774940400282,0.423873642683846,0.657569545108657,0.613150532769975,0.265850142112533
"AvalonBay.Communities..Inc..Financials",0.696984925091517,0.123994425367145,0.681020901413244,0.831994699078125,0.959677641637583,0.147663742681637,0.582760563975324,0.0880974728810811,0.563946755695635,0.511392548927507
"Avery.Dennison.Corp.Materials",0.0736436398400406,0.593643447568174,0.182081586311184,0.926071445977009,0.685023549995512,0.302061877262779,0.491694746411424,0.809913316869371,0.173376065608439,0.763472762960392
"Baker.Hughes.Inc.Energy",0.128981749394636,0.52076084031612,0.369433857947032,0.130570469643605,0.551990350646947,0.280403867511883,0.731276289238723,0.158428999808595,0.407108631105412,0.515935363505722
"Ball.Corp.Materials",0.34051820115576,0.963126108421316,0.862760390479129,0.469260815241635,0.707973626964053,0.578069343394147,0.134115923491922,0.961393480977719,0.775631956822075,0.795811186527043
"Bank.of.America.Corp.Financials",0.187871234560468,0.865464020152273,0.0441057235162742,0.000811412568295175,0.588049599877882,0.151541249276052,0.368861190462705,0.932210251638418,0.168691598810065,0.00252239345875505
"The.Bank.of.New.York.Mellon.Corp..Financials",0.21501242015815,0.103380236661971,0.0343208965526169,0.199776156025528,0.908767347596247,0.354004573152733,0.789852648063301,0.460383464993915,0.829874467751519,0.869745715869775
"Bard..C.R...Inc..Health.Care",0.292196651601321,0.615072619378884,0.0833505176881518,0.597161028314689,0.528018295655002,0.0594988853990796,0.576702177553052,0.313147489586872,0.627230071644849,0.395998322291076
"Baxter.International.Inc..Health.Care",0.431268626100219,0.667133968901043,0.12707129845025,0.233722757111278,0.179173411453282,0.658718935553609,0.577910798329657,0.195543714365485,0.116685868467282,0.102262373738868
"BB.T.Corporation.Financials",0.433170142095969,0.0380252656271301,0.848613302225293,0.304126812009525,0.738027780360936,0.191295748931146,0.521417580143159,0.746903343929078,0.468557949947717,0.45369848438915
"Becton.Dickinson.Health.Care",0.159773954519774,0.138636961418734,0.20754448251258,0.07281104692219,0.565316503458327,0.152391872626179,0.0284553293672501,0.983580261727031,0.666070855630514,0.164118464636592
"Bed.Bath...Beyond.Consumer.Discretionary",0.307539929343121,0.0148656963820642,0.208976814426696,0.552207487544734,0.754777376591802,0.36213828264054,0.858940224355284,0.739614010381202,0.175272138183861,0.633396500020104
"Berkshire.Hathaway.Financials",0.783787438694698,0.742294970528149,0.907124316542248,0.503480857698056,0.714598883906014,0.274054144740767,0.256947390997906,0.311562691344157,0.153002862900333,0.253571630387475
"Best.Buy.Co..Inc..Consumer.Discretionary",0.612997710037256,0.975222071211161,0.328852075835195,0.418718551356944,0.622293837764593,0.85147926109129,0.665830388132481,0.672319617013546,0.760836383535396,0.484338804505162
"BIOGEN.IDEC.Inc..Health.Care",0.577835132585295,0.405400907254312,0.930883716178846,0.560269470450485,0.0548106575132304,0.628078659027839,0.957501901440897,0.0143439515751479,0.249589078744685,0.382858718336499
"BlackRock.Financials",0.740029048153952,0.015215503554858,0.18137182499444,0.172907935936853,0.0715449403502909,0.128633719133824,0.124311003793094,0.983396475201358,0.550418865450818,0.0438929224887505
"Block.H.R.Financials",0.849266697077866,0.344161252387482,0.70733938044588,0.946956531547856,0.1661805092612,0.669928169928258,0.502323183389847,0.433245530532912,0.213089621786736,0.36730137339907
"Boeing.Company.Industrials",0.706724560864093,0.244859058210575,0.376942533675611,0.577261465305749,0.542548970025233,0.920612052881117,0.454273704705625,0.448572086010358,0.334677596536566,0.131757310951704
"BorgWarner.Consumer.Discretionary",0.821077008531145,0.20327140615198,0.189729043933371,0.931087653457224,0.862859950413172,0.710619067672676,0.823901256943138,0.663070530328274,0.608916537409793,0.0844444419057021
"Boston.Properties.Financials",0.0714704534065849,0.302754164033745,0.0120717074224586,0.391246355642726,0.00917260873164128,0.142494935257722,0.878680039309831,0.356500093449596,0.0207327850713871,0.13836844803762
"Boston.Scientific.Health.Care",0.313807747522268,0.865130370302476,0.0139467159921712,0.734747546981462,0.103443513800223,0.611123301810471,0.298981758166988,0.901633659353032,0.858851023945318,0.604270098393611
"Bristol.Myers.Squibb.Health.Care",0.738737957212991,0.125371128997169,0.165389263179416,0.725607331056243,0.350665213703769,0.411298238893323,0.998846526242548,0.140925059021616,0.610823290899918,0.268491163313285
"Broadcom.Corporation.Information.Technology",0.957717751804086,0.647274938207748,0.688318547569672,0.872084132707274,0.905643360865459,0.486878047045223,0.39027351548701,0.973178412467332,0.804117836205043,0.601646558072424
"Brown.Forman.Corporation.Consumer.Staples",0.398217169938637,0.43446669496503,0.483598962700939,0.615224461957346,0.721936083485125,0.382017274236182,0.727493440013133,0.424687527839697,0.234703575702234,0.156945472373291
"C..H..Robinson.Worldwide.Industrials",0.223506340817984,0.308443856133782,0.851685267802366,0.493302006258077,0.0283717963117429,0.000552525476415062,0.0530058769503073,0.0968576364159309,0.110823151662539,0.702736241832485
"CA..Inc..Information.Technology",0.0768341463173732,0.0237495913904393,0.926789622929888,0.383076657691708,0.309923044849542,0.319516957983064,0.814157310730552,0.752225584218003,0.0265602225352148,0.784840659526583
"Cablevision.Systems.Corp..Consumer.Discretionary",0.0655317139044908,0.261095724437747,0.079512551328625,0.498698074613168,0.734515164931558,0.0448163374180417,0.673550642591377,0.344040899590419,0.303211787174935,0.730604194677561
"Cabot.Oil...Gas.Energy",0.154355751872424,0.462690545552633,0.00358187397364837,0.181154464914478,0.296201585624266,0.842250428324255,0.0914345325984026,0.103298073976209,0.535040032881362,0.860100747274219
"Cameron.International.Corp..Energy",0.734919942015887,0.222994155849324,0.0968486915170955,0.0858016873041703,0.33462657515774,0.58793977880495,0.465849455349798,0.754079616499049,0.291144569548772,0.76960318264854
"Campbell.Soup.Consumer.Staples",0.127976962315713,0.165227583998895,0.547107975638895,0.185581407802104,0.377641356504521,0.341159067117675,0.134999406677722,0.341925121499012,0.900815851399355,0.976499546023669
"Capital.One.Financial.Financials",0.266263195556718,0.481109539394684,0.100985027778566,0.0833588479685166,0.101695662563437,0.752607896520384,0.108711311203224,0.150859508594446,0.287025995417598,0.326628366098733
"Cardinal.Health.Inc..Health.Care",0.682060288904918,0.873259335586016,0.489498211006119,0.887766874193762,0.952499511052092,0.702204139071761,0.787463093806435,0.0944495199575478,0.00770629030560249,0.587646350352817
"Henry.Schein.Health.Care",0.397311205016453,0.183480723912068,0.0229054013632295,0.121564607155235,0.46092973883876,0.770613090134586,0.812000123463489,0.278993221609295,0.485757450873393,0.0353676526153284
"Carmax.Inc.Consumer.Discretionary",0.712630739381895,0.716845759689552,0.570360237654393,0.218789641068585,0.636723828155121,0.551722852762554,0.224470054974977,0.960382173030857,0.27061222432258,0.860838306419141
"Carnival.Corp..Consumer.Discretionary",0.9966825207899,0.827046233177519,0.247201502341115,0.777707212391692,0.237592988702371,0.608981558255034,0.0384172439951509,0.160952374320697,0.192540269586262,0.197969571146268
"Caterpillar.Inc..Industrials",0.0515225777873073,0.337288375603668,0.0820756950065665,0.98321223391806,0.0285755177098059,0.253675526365773,0.0857881882974248,0.664934479699259,0.257442853360662,0.820919589044761
"CBRE.Group.Financials",0.633440490599791,0.701537576156145,0.106676633656716,0.105713257690698,0.895523718253276,0.332113067864518,0.511073484101207,0.440758112238551,0.618144544278421,0.0166214210317067
"CBS.Corp..Consumer.Discretionary",0.60178155938501,0.868246426684705,0.808653666198944,0.792827372531674,0.511671761127252,0.355864810740504,0.749441923890926,0.369537374658576,0.435200918078101,0.768152846705078
