"Company","MinIndex"
"Iron.Mountain.Incorporated.Industrials",6
"Jacobs.Engineering.Group.Industrials",3
"Johnson...Johnson.Health.Care",5
"Johnson.Controls.Consumer.Discretionary",2
"Joy.Global.Inc..Industrials",6
"JPMorgan.Chase...Co..Financials",6
"Juniper.Networks.Information.Technology",8
"Kansas.City.Southern.Industrials",2
"Kellogg.Co..Consumer.Staples",5
"KeyCorp.Financials",10
"Keurig.Green.Mountain.Consumer.Staples",7
"Kimberly.Clark.Consumer.Staples",3
"Kimco.Realty.Financials",8
"KLA.Tencor.Corp..Information.Technology",3
"Kohl.s.Corp..Consumer.Discretionary",7
"Kroger.Co..Consumer.Staples",2
"L.Brands.Inc..Consumer.Discretionary",2
"L.3.Communications.Holdings.Industrials",3
"Laboratory.Corp..of.America.Holding.Health.Care",1
"Lam.Research.Information.Technology",1
"Legg.Mason.Financials",6
"Leggett...Platt.Industrials",5
"Lennar.Corp..Consumer.Discretionary",1
"Level.3.Communications.Telecommunications.Services",6
"Leucadia.National.Corp..Financials",7
"Lilly..Eli....Co..Health.Care",6
"Lincoln.National.Financials",7
"Linear.Technology.Corp..Information.Technology",7
"Lockheed.Martin.Corp..Industrials",5
"Loews.Corp..Financials",8
"Lowe.s.Cos..Consumer.Discretionary",1
"M.T.Bank.Corp..Financials",10
"Macerich.Financials",7
"Macy.s.Inc..Consumer.Discretionary",10
"Marathon.Oil.Corp..Energy",2
"Marriott.Int.l..Consumer.Discretionary",3
"Marsh...McLennan.Financials",3
"Martin.Marietta.Materials.Materials",5
"Masco.Corp..Industrials",6
"Mastercard.Inc..Information.Technology",6
"Mattel.Inc..Consumer.Discretionary",5
"McCormick...Co..Consumer.Staples",8
"McDonald.s.Corp..Consumer.Discretionary",9
"McGraw.Hill.Financial.Financials",9
"McKesson.Corp..Health.Care",8
"Mead.Johnson.Consumer.Staples",3
"MeadWestvaco.Corporation.Materials",7
"Medtronic.plc.Health.Care",4
"Merck...Co..Health.Care",5
"MetLife.Inc..Financials",4
"Microchip.Technology.Information.Technology",3
"Micron.Technology.Information.Technology",5
"Microsoft.Corp..Information.Technology",1
"Mohawk.Industries.Consumer.Discretionary",6
"Molson.Coors.Brewing.Company.Consumer.Staples",2
"Mondelez.International.Consumer.Staples",2
"Monsanto.Co..Materials",9
"Monster.Beverage.Consumer.Staples",10
"Moody.s.Corp.Financials",6
"Morgan.Stanley.Financials",2
"The.Mosaic.Company.Materials",9
"Motorola.Solutions.Inc..Information.Technology",9
"Murphy.Oil.Energy",6
"Mylan.N.V..Health.Care",6
"NASDAQ.OMX.Group.Financials",3
"National.Oilwell.Varco.Inc..Energy",5
"NetApp.Information.Technology",7
"Netflix.Inc..Information.Technology",1
"Newell.Rubbermaid.Co..Consumer.Discretionary",8
"Newfield.Exploration.Co.Energy",2
"Newmont.Mining.Corp...Hldg..Co...Materials",2
"NextEra.Energy.Utilities",6
"Nike.Consumer.Discretionary",5
"NiSource.Inc..Utilities",8
"Noble.Corp.Energy",4
"Noble.Energy.Inc.Energy",3
"Nordstrom.Consumer.Discretionary",6
"Norfolk.Southern.Corp..Industrials",7
"Northern.Trust.Corp..Financials",8
"Northrop.Grumman.Corp..Industrials",6
"NRG.Energy.Utilities",3
"Nucor.Corp..Materials",1
"Nvidia.Corporation.Information.Technology",5
"O.Reilly.Automotive.Consumer.Discretionary",9
"Occidental.Petroleum.Energy",4
"Omnicom.Group.Consumer.Discretionary",5
"ONEOK.Energy",4
"Oracle.Corp..Information.Technology",7
"Owens.Illinois.Inc.Materials",7
"PACCAR.Inc..Industrials",7
"Pall.Corp..Industrials",8
"Parker.Hannifin.Industrials",1
"Patterson.Companies.Health.Care",9
"Paychex.Inc..Information.Technology",2
"Pentair.Ltd..Industrials",5
"People.s.United.Financial.Financials",8
"Pepco.Holdings.Inc..Utilities",5
"PepsiCo.Inc..Consumer.Staples",4
"PerkinElmer.Health.Care",2
"Perrigo.Health.Care",3
"Pfizer.Inc..Health.Care",7
"PG.E.Corp..Utilities",5
"Philip.Morris.International.Consumer.Staples",2
"Pinnacle.West.Capital.Utilities",5
"Pioneer.Natural.Resources.Energy",8
"Pitney.Bowes.Industrials",9
"Plum.Creek.Timber.Co..Financials",4
"PNC.Financial.Services.Financials",9
"Polo.Ralph.Lauren.Corp..Consumer.Discretionary",3
"PPG.Industries.Materials",4
"PPL.Corp..Utilities",4
"Praxair.Inc..Materials",9
"Precision.Castparts.Industrials",5
"Priceline.com.Inc.Consumer.Discretionary",8
"Principal.Financial.Group.Financials",3
"Procter...Gamble.Consumer.Staples",7
"Progressive.Corp..Financials",9
"Prologis.Financials",6
"Prudential.Financial.Financials",4
"Public.Serv..Enterprise.Inc..Utilities",6
"Public.Storage.Financials",4
"Pulte.Homes.Inc..Consumer.Discretionary",1
"PVH.Corp..Consumer.Discretionary",4
"Quanta.Services.Inc..Industrials",4
"QUALCOMM.Inc..Information.Technology",3
"Quest.Diagnostics.Health.Care",2
"Range.Resources.Corp..Energy",2
"Raytheon.Co..Industrials",5
"Realty.Income.Corporation.Financials",4
"Red.Hat.Inc..Information.Technology",10
"Regeneron.Health.Care",4
"Regions.Financial.Corp..Financials",4
"Republic.Services.Inc.Industrials",5
"Reynolds.American.Inc..Consumer.Staples",8
"Robert.Half.International.Industrials",4
"Rockwell.Automation.Inc..Industrials",9
"Rockwell.Collins.Industrials",10
"Roper.Industries.Industrials",5
"Ross.Stores.Consumer.Discretionary",8
"Royal.Caribbean.Cruises.Ltd.Consumer.Discretionary",7
"Ryder.System.Industrials",7
"Salesforce.com.Information.Technology",3
"SanDisk.Corporation.Information.Technology",7
"SCANA.Corp.Utilities",4
"Schlumberger.Ltd..Energy",10
"Scripps.Networks.Interactive.Inc..Consumer.Discretionary",3
"Seagate.Technology.Information.Technology",9
"Sealed.Air.Corp..New..Materials",8
"Sempra.Energy.Utilities",8
"Sherwin.Williams.Materials",3
"Sigma.Aldrich.Materials",7
"Simon.Property.Group.Inc.Financials",10
"Skyworks.Solutions.Information.Technology",6
"SL.Green.Realty.Financials",8
"Smucker..J.M...Consumer.Staples",1
"Snap.On.Inc..Consumer.Discretionary",1
"Southern.Co..Utilities",4
"Southwest.Airlines.Industrials",4
"Southwestern.Energy.Energy",1
"Spectra.Energy.Corp..Energy",10
"St.Jude.Medical.Health.Care",5
"Stanley.Black...Decker.Consumer.Discretionary",8
"Staples.Inc..Consumer.Discretionary",7
"Starbucks.Corp..Consumer.Discretionary",2
"Starwood.Hotels...Resorts.Consumer.Discretionary",2
"State.Street.Corp..Financials",10
"Stericycle.Inc.Industrials",9
"Stryker.Corp..Health.Care",10
"SunTrust.Banks.Financials",4
"Symantec.Corp..Information.Technology",6
"Sysco.Corp..Consumer.Staples",6
"T..Rowe.Price.Group.Financials",6
"Target.Corp..Consumer.Discretionary",6
"TE.Connectivity.Ltd..Information.Technology",10
"TECO.Energy.Utilities",3
"Tenet.Healthcare.Corp..Health.Care",8
"Teradata.Corp..Information.Technology",3
"Tesoro.Petroleum.Co..Energy",6
"Texas.Instruments.Information.Technology",6
"Textron.Inc..Industrials",10
"The.Hershey.Company.Consumer.Staples",1
"The.Travelers.Companies.Inc..Financials",4
"Thermo.Fisher.Scientific.Health.Care",4
"Tiffany...Co..Consumer.Discretionary",6
"Time.Warner.Inc..Consumer.Discretionary",6
"Time.Warner.Cable.Inc..Consumer.Discretionary",3
"TJX.Companies.Inc..Consumer.Discretionary",9
"Torchmark.Corp..Financials",3
"Total.System.Services.Information.Technology",3
"Tractor.Supply.Company.Consumer.Discretionary",2
"Transocean.Energy",7
"Twenty.First.Century.Fox.Consumer.Discretionary",9
"Tyson.Foods.Consumer.Staples",8
"Tyco.International.Industrials",3
"U.S..Bancorp.Financials",4
"Under.Armour.Consumer.Discretionary",6
"Union.Pacific.Industrials",7
"United.Health.Group.Inc..Health.Care",1
"United.Parcel.Service.Industrials",7
"United.Rentals..Inc..Industrials",2
"United.Technologies.Industrials",8
"Universal.Health.Services..Inc..Health.Care",5
"Unum.Group.Financials",5
"Urban.Outfitters.Consumer.Discretionary",9
"V.F..Corp..Consumer.Discretionary",10
"Valero.Energy.Energy",2
"Varian.Medical.Systems.Health.Care",9
"Ventas.Inc.Financials",6
"Verisign.Inc..Information.Technology",10
"Verizon.Communications.Telecommunications.Services",6
"Vertex.Pharmaceuticals.Inc.Health.Care",3
"Viacom.Inc..Consumer.Discretionary",5
"Visa.Inc..Information.Technology",6
"Vornado.Realty.Trust.Financials",8
"Vulcan.Materials.Materials",3
"Wal.Mart.Stores.Consumer.Staples",8
"Walgreens.Boots.Alliance.Consumer.Staples",6
"The.Walt.Disney.Company.Consumer.Discretionary",10
"Waste.Management.Inc..Industrials",9
"Waters.Corporation.Health.Care",4
"Anthem.Inc..Health.Care",8
"Wells.Fargo.Financials",1
"Western.Digital.Information.Technology",2
"Western.Union.Co.Information.Technology",7
"Weyerhaeuser.Corp..Financials",8
"Whirlpool.Corp..Consumer.Discretionary",6
"Whole.Foods.Market.Consumer.Staples",9
"Williams.Cos..Energy",8
"Wisconsin.Energy.Corporation.Utilities",8
"Wyndham.Worldwide.Consumer.Discretionary",3
"Wynn.Resorts.Ltd.Consumer.Discretionary",10
"Xcel.Energy.Inc.Utilities",7
"Xerox.Corp..Information.Technology",9
"Xilinx.Inc.Information.Technology",3
"XL.Capital.Financials",2
"Yahoo.Inc..Information.Technology",7
"Yum..Brands.Inc.Consumer.Discretionary",4
"Zimmer.Holdings.Health.Care",1
"Zions.Bancorp.Financials",2
